Outcomes	coefficient	pval	pre_cont_mean	pre_cont_sd	pre_cont_n	post_cont_mean	post_cont_sd	post_cont_n	pre_int_mean	pre_int_sd	pre_int_n	post_int_mean	post_int_sd	post_int_n
pct Calories from Fat	4.31299368298363	0.270258237121877	17.8115730769231	7.93507615607794	13	15.5932227272727	8.79537295489407	11	18.0043291666667	7.3209763366602	24	20.0989725	7.06229718213623	20
pct Calories from Carbohydrate	-8.36824264568758	0.073707055648892	60.2966153846154	8.15344771184213	13	63.0180363636364	10.6469984734922	11	62.0361416666667	8.03822361156324	24	56.38932	9.75122502995609	20
pct Calories from Protein	5.34874918414917	0.0650981634037687	22.3108461538462	4.74769333196227	13	20.7583636363636	5.99620407045536	11	19.2238333333333	4.59896639301245	24	23.0201	6.83081845986108	20
pct Calories from Alcohol	0.0188494172494173	0.121862790442999	0.0204615384615385	0.0319455666841149	13	0.00604545454545455	0.0200505044144213	11	0.00554166666666667	0.0187749351105616	24	0.00997500000000001	0.0243621119774128	20
pct Calories from SFA	2.63926903263401	0.613187397631344	8.36739615384617	11.132583754709	13	6.91264545454547	10.3850616523075	11	6.91984166666668	9.5925716092518	24	8.10436000000001	10.1942078012803	20
pct Calories from MUFA	2.22954656177155	0.0215525900636073	5.33532307692308	1.58511357855615	13	4.46881818181818	1.43588556773733	11	5.19775833333333	1.71160084536103	24	6.5608	2.32531021586368	20
pct Calories from PUFA	1.40151743881118	0.0583681940555019	5.00153846153846	1.18904742093441	13	4.18272727272727	1.53748327411449	11	5.45444375	1.33606908661131	24	6.03715	1.60167889793968	20
Polyunsaturated to Saturated Fat Ratio	-0.0478750582750564	0.898407052944395	1.63884615384615	0.777932714116271	13	1.61545454545455	0.642979527455791	11	1.83916666666667	0.777357769273116	24	1.7679	0.692409667298501	20
Cholesterol to Saturated Fatty Acid Index	4.90785949883449	0.653565897056166	34.1930769230769	24.5835553545168	13	29.8604090909091	20.422781856077	11	30.1064583333333	19.7632564860392	24	30.68165	21.5321462543431	20
Total Vitamin A Activity Retinol Equivalents mcg	-191.268379973781	0.391382064771432	254.443769230769	188.786431579953	13	437.673445454546	466.54750935996	11	454.08159375	479.63793453022	24	446.04289	471.290748524661	20
TRANS 18:1 trans-octadecenoic acid g	1.49727517482517	0.144509547500892	1.69486153846154	2.41870377321492	13	1.04823636363636	2.03632708731811	11	0.5569	1.42969249719013	24	1.40755	2.23225724972445	20
TRANS 18:2 trans-octadecadienoic acid g	0.113504755244756	0.149802760700155	0.168953846153846	0.193745471411096	13	0.0949090909090909	0.0955797620267539	11	0.12665	0.125885375743519	24	0.16611	0.176062925055071	20
TRANS 16:1 trans-hexadecenoic acid g	0.00604736596736601	0.437225025456455	0.0338461538461538	0.0114516822188282	13	0.0305454545454545	0.012651985111939	11	0.0340833333333333	0.0143130122210728	24	0.03683	0.0190165883264835	20
Total Trans-Fatty Acids TRANS g	1.40264111305361	0.21883329541397	1.90393846153846	2.60318611049949	13	1.20841818181818	2.18918948143745	11	0.904454166666667	1.82938926515385	24	1.611575	2.38884487431742	20
Beta-Carotene provitamin A carotenoid mcg	-81.3270076923006	0.695393677510258	16.2336923076923	28.1427023234106	13	103.4979	326.433295639141	11	282.178975000001	475.340574319073	24	288.116175000001	474.216098118195	20
Alpha-Carotene provitamin A carotenoid mcg	-9.45390052447439	0.788653271324549	13.0686153846154	47.1171591788995	13	15.4440909090909	51.221923111993	11	49.5496250000001	78.8780142657348	24	42.4712000000001	75.4728290945613	20
Beta-Cryptoxanthin provitamin A carotenoid mcg	0.284359790212142	0.996188728952008	0.593846153846154	0.881447280154807	13	0.109636363636364	0.363622681560783	11	81.5303750000003	143.35526525811	24	81.3305250000003	144.100547871003	20
Lutein + Zeaxanthin mcg	24.350231774476	0.699760060695669	18.8033846153846	31.1386294564015	13	53.2149090909091	64.4527390611982	11	77.33178125	105.908537313204	24	136.0935375	186.847485729748	20
Lycopene mcg	229.379261363645	0.0953471814866372	206.500000000002	322.39802166732	13	61.0113636363642	202.351801129753	11	83.8906250000007	226.72747572952	24	167.781250000001	298.155105439556	20
Dietary Folate Equivalents mcg	-42.9644976748221	0.654329052472694	495.155538461538	153.316569290263	13	533.443913636364	204.075367892041	11	542.676875	187.900763315735	24	538.0007525	197.21673300363	20
Natural Folate food folate mcg	-17.8563256351983	0.502108984964329	99.2178230769231	42.5798951504532	13	120.906854545455	61.2156635142896	11	107.423879166667	55.1273344068548	24	111.256585	47.8297672148156	20
Synthetic Folate folic acid mcg	-11.9820806177137	0.816103145670038	233.437769230769	76.7025073929071	13	249.307018181818	118.801758155524	11	251.123041666667	99.7712090824843	24	255.01021	104.789970122285	20
Total Vitamin A Activity Retinol Activity Equivalents mcg	-193.259394793128	0.384809914548919	253.065846153846	187.523431762027	13	435.128736363636	462.058649638771	11	442.368614583333	477.88607658195	24	431.17211	471.269270416001	20
Energy kj	-1552.54614761068	0.421945478839683	11049.4733076923	3637.87437605095	13	10855.5297636364	3326.10237298184	11	11746.5920416667	4111.89465104967	24	10000.10235	3639.72215622591	20
Niacin Equivalents mg	0.442940442890625	0.967473844229908	57.2037692307692	17.1260585471081	13	58.5585454545455	16.7709202929573	11	57.1333333333333	20.178669755498	24	58.93105	26.3347687357567	20
Total Sugars g	-101.587171984266	0.0100435763775319	127.576611538462	90.2487478861622	13	133.921177272727	100.617216044401	11	146.56245625	71.1605267203502	24	51.31985	49.2637613884101	20
Omega-3 Fatty Acids g	0.942892307692313	0.613693862115962	8.13569230769231	2.71492880154082	13	7.062	3.46405256888518	11	8.36525	3.74217329612898	24	8.23445	4.11346658101873	20
Manganese mg	-25.582288327505	0.372719136649087	17.1689653846154	43.5098379764919	13	19.5985045454546	47.2195051204503	11	44.1143041666667	69.4858393212774	24	20.961555	48.2502710727289	20
Vitamin E International Units IU	1.92705492132867	0.265897383583544	5.22104230769231	3.91604945469316	13	4.04136363636364	2.23614651902451	11	4.60185625	2.81413690843494	24	5.3492325	4.04492496532042	20
Natural Alpha-Tocopherol RRR-alpha-tocopherol or d-alpha-tocopherol mg	1.11187901223776	0.272208463484478	3.20224230769231	2.23711222634656	13	2.57545454545455	1.35038937818959	11	2.96538125	1.61082741004716	24	3.4504725	2.41265467136988	20
